procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1 948480 4131812 103984 4845576    8   58   241   405 3885   17 10  3 87  0  0  0
 0  0 948480 4144696 103992 4837820    0    0     0   432 3922 6476 10  5 85  1  0  0
 0  0 948480 4113108 104012 4834184    0    0   172  1172 3816 7094 18  5 77  1  0  0
 0  0 948480 4083276 104028 4829092    0    0     0  1184 3500 6908 13  5 81  1  0  0
 0  0 948480 4086128 104028 4832548    0    0     0     0 5124 8206 10  6 83  1  0  0
 2  0 948480 4021476 104348 4830404    0    0   448  1286 5158 7390 17  8 73  1  0  0
 9  1 948480 3746076 109092 4916148  136    0 35668   562 9739 16649 49 16 32  2  0  0
 5  0 948480 3468924 111064 5013044  268    0 24076   506 11134 31438 67 23  8  2  0  0
 0  0 948224 3280556 111688 5057220   20    0 49474  3484 8338 20104 62 22 15  1  0  0
 0  0 948224 3416768 111732 5049588    0    0     4  1296 4752 7758 13 12 75  1  0  0
 3  0 948224 3464128 111748 5042396    0    0    14    64 4718 6872 44  6 50  0  0  0
 3  0 948224 3519472 112300 5042476   26    0   296  1436 5343 4667 79  3 18  0  0  0
 3  0 948224 3613156 112316 5041444  228    0   228    62 4969 3203 77  3 20  0  0  0
 3  0 948224 3656812 112316 5041552    0    0     0     0 4963 4274 78  4 18  0  0  0
11  1 948224 3679824 112324 5042024    0    0     4    10 5095 4903 79  4 17  0  0  0
 9  0 948224 3692880 112464 5047120    0    0    66    38 5336 4182 87  5  9  0  0  0
 4  0 948224 3725940 112508 5042328    0    0    10  3236 5031 3085 83  4 13  1  0  0
 3  0 948224 3746676 112524 5041856    0    0     0   104 4819 2945 80  3 16  0  0  0
 3  0 948224 3763764 112524 5041856    0    0     0     2 4559 2362 80  3 16  0  0  0
 5  0 948224 3777520 112536 5041928    0    0     2   108 4526 2555 81  3 16  0  0  0
 4  0 948224 3810224 112556 5041912   22    0    22   274 4929 3005 83  5 12  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 948224 3815596 112700 5095792   28    0   146     6 4780 2806 83  5 12  0  0  0
 3  0 948224 3836540 112708 5063872    0    0     0    84 5254 3465 87  4  9  0  0  0
 4  0 939008 3825980 112876 5070616 4614    0  4870   220 5475 3718 84  4 11  1  0  0
 3  0 933376 3822228 112924 5053864 2870    0  2884   538 5505 4123 83  5 12  1  0  0
 3  0 933376 3827224 112924 5053768   16    0    16     2 4875 3106 80  4 16  0  0  0
 4  0 933376 3838456 112932 5053768    0    0     0    60 5297 3834 81  4 15  1  0  0
 5  0 932608 3827092 113796 5070212  892    0  9560   178 6865 6735 83  5  8  3  0  0
 4  1 932096 3817036 113796 5067156   86    0  3572    80 6358 5560 86  6  6  2  0  0
 4  0 932096 3815948 113796 5067000    0    0     0   264 4955 3210 81  4 15  0  0  0
 4  0 932096 3821504 113816 5067108    0    0     6   250 4694 2719 80  4 16  1  0  0
 3  0 932096 3821184 113960 5067056    8    0    76    86 4896 3067 81  4 15  1  0  0
